Table A. EPMA and QEMSCAN results in wt% for selected sphalerite grains,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Analysis No.,Sample,ParticleID,Raw EPMA data,,,,,,,Normalized EPMA data,,,,,Raw QEMSCAN data,,,,Normalized QEMSCAN data,,
,,,Fe,Zn,Cu,S,Cd,Mn,Total,Fe,Zn,S,Cd,Mn,S,Mn,Fe,Zn,Mn,Fe,Zn
141,Zn-CTails2,8021,6.6,59.2,0,33.2,0.2,1,100.2,6.6,59.1,33.1,0.2,1,36.8,1.2,6.8,67.8,1,6,59.8
142,Zn-CTails2,8000c ,5.1,61.9,0,33.2,0.2,0.3,100.7,5,61.4,33,0.2,0.3,36.3,0.5,5.4,70.8,0.4,4.7,61.7
143,Zn-CTails2,8006,4.4,62.2,0,33.3,0.2,0.4,100.6,4.4,61.9,33.1,0.2,0.4,35.4,0.4,4.9,69.9,0.4,4.4,62.1
144,Zn-CTails2,8000a ,6.7,59.1,0,33.3,0.4,1.2,100.6,6.6,58.7,33.1,0.4,1.2,36.3,1.3,7.1,68.1,1.1,6.2,59.5
145,Zn-CTails2,8007d ,5.5,59.2,0,33.3,0.3,2.1,100.4,5.5,59,33.2,0.3,2.1,36.6,2.2,5.9,67.7,2,5.2,59.7
146,Zn-CTails2,8007a ,6,59.9,0,33.3,0.2,0.6,100,6,59.9,33.3,0.2,0.6,36.1,0.8,6.4,68.8,0.7,5.6,60.5
147,Zn-CTails2,8013b ,4.1,61.7,0,33.3,0.2,0.8,100.2,4.1,61.6,33.2,0.2,0.8,35.8,0.9,4.4,70.8,0.8,3.9,62.1
148,Zn-CTails2,8007b ,4.1,62.6,0,33.3,0.2,0.5,100.7,4,62.2,33.1,0.2,0.5,35.5,0.7,4.5,71.1,0.6,3.9,62.3
149,Zn-CTails2,8007c ,4.2,62.5,0,33.4,0.2,0.6,100.9,4.2,61.9,33.1,0.2,0.6,35.4,0.7,4.4,70.5,0.6,3.9,62.3
150,Zn-CTails2,8003,5.9,60.8,0,33.5,0.1,0.6,101,5.8,60.3,33.2,0.1,0.6,36.2,0.8,6.5,68.3,0.7,5.7,60.4
151,Zn-CTails2,8013a ,5.8,60.3,0,33.5,0.2,0.9,100.8,5.8,59.9,33.3,0.2,0.9,36.1,1,6.3,69.6,0.9,5.5,60.4
152,Zn-CTails2,7972,5.6,60.5,0,33,0.2,0.8,100,5.6,60.5,33,0.2,0.8,36.1,0.9,6,68.7,0.8,5.3,60.7
